,Unnamed: 0,Unnamed: 0.1,alfab_dez_mais,area_hectare,dens_dem,dist_marco_zero,morador_por_domic,nome_bairro,num_domic,pop_0_4,pop_15_17,pop_18_24,pop_25_59,pop_5_14,pop_60_,pop_fem,pop_masc,pop_porc_amarela,pop_porc_branca,pop_porc_indigena,pop_porc_parda,pop_porc_preta,populacao,prop_resp_fem,rend_medio,rpa,taxa_m_cresc,qtd_chamados,chamados_p_area
0,0,0,81.7,270,2.23,0.0,3.0,RECIFE,198,50,36,73,276,137,30,315,287,0.5,3.89,0.5,30.72,34.39,602,66.83,567.0,1,-4.2,922.0,3.414814814814815
1,1,1,98.5,176,84.15,2.78,2.4,BOA VISTA,5999,447,477,2303,7758,935,2858,8614,6164,1.25,59.9,0.26,33.37,5.22,14778,54.43,3618.45,1,0.52,1598.0,9.079545454545455
2,2,2,94.5,81,19.16,3.26,3.1,CABANGA,506,73,69,168,772,197,272,872,679,1.35,41.78,0.32,45.13,11.41,1551,57.0,1986.08,1,0.1,413.0,5.098765432098766
3,3,3,87.7,43,178.51,2.15,3.6,COELHOS,2322,579,427,970,3646,1379,632,4062,3571,0.86,31.5,0.72,53.36,13.56,7633,53.63,898.41,1,1.12,283.0,6.5813953488372094
4,4,4,96.8,26,38.21,2.64,2.8,ILHA DO LEITE,361,39,48,14,534,121,151,561,446,1.49,58.39,0.4,33.86,5.86,1007,56.79,3024.11,1,0.49,337.0,12.961538461538462
5,5,5,83.2,87,144.85,2.89,3.5,ILHA JOANA BEZERRA,3606,1158,838,1687,5371,2747,828,6627,6002,0.78,24.62,0.21,58.22,16.17,12629,57.31,705.83,1,-0.1,560.0,6.436781609195402
6,6,6,98.5,34,14.7,3.0,2.7,PAISSANDU,180,12,28,85,252,44,86,289,218,0.39,80.87,0.0,16.96,1.78,507,58.33,5115.06,1,-0.46,137.0,4.029411764705882
7,7,7,90.5,380,73.52,1.98,3.3,SANTO AMARO,8474,1745,1468,3471,13258,4404,3593,15259,12680,1.3,34.49,0.3,54.27,9.64,27939,55.32,1892.1,1,-0.42,2870.0,7.552631578947368
8,8,8,99.3,81,3.53,0.82,1.7,SANTO ANTONIO,142,2,10,38,162,13,60,126,159,2.81,32.98,1.75,57.19,5.26,285,34.27,1477.92,1,-6.17,867.0,10.703703703703704
9,9,9,87.2,326,26.62,2.21,3.2,SAO JOSE,2704,668,448,1023,4070,1640,839,4497,4191,0.61,28.67,0.15,62.43,8.14,8688,51.56,1402.11,1,0.04,1293.0,3.9662576687116564
10,10,10,98.2,32,77.06,2.18,2.4,SOLEDADE,1013,62,94,469,1242,148,480,1454,1041,1.16,61.44,0.52,32.27,4.61,2495,57.04,3747.16,1,1.26,74.0,2.3125
11,11,11,90.4,193,225.38,6.17,3.5,AGUA FRIA,12294,3084,2294,5353,20693,7296,4809,23235,20294,0.97,28.58,0.14,58.75,13.66,43529,47.03,1189.92,2,-0.11,1533.0,7.94300518134715
12,12,12,90.5,31,245.74,6.68,3.6,ALTO SANTA TEREZINHA,2157,591,405,1095,3626,1255,731,4102,3601,0.87,24.46,0.2,63.46,11.01,7703,47.89,921.74,2,-0.16,298.0,9.612903225806452
13,13,13,94.0,100,145.56,4.81,3.2,ARRUDA,4467,880,665,1699,7387,2144,1755,7923,6607,0.72,40.8,0.16,47.04,11.28,14530,53.54,2234.83,2,0.79,630.0,6.3
